All,Semua
"Attribute Code","Kode Atribut"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Ini digunakan secara internal. Pastikan Anda tidak menggunakan spasi atau lebih dari %1 simbol."
"Default Value","Nilai Default"
"Unique Value","Nilai yang Unik"
"Unique Value (not shared with other products)","Nilai yang unik (tidak dibagi dengan produk lain)"
"Not shared with other products.","Tidak dibagi dengan produk lain."
"Input Validation for Store Owner","Validasi Masukan untuk Pemilik Toko"
"Add to Column Options","Tambahkan ke kolom pilihan"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Pilih ""Ya"" untuk menambahkan atribut ini ke daftar kolom pilihan di kisi-kisi produk."
"Use in Filter Options","Gunakan pada pilihan penyaringan"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Pilih ""Ya"" untuk menambahkan atribut ini ke daftar pilihan penyaringan di kisi-kisi produk."
Website,"Situs web"
Scope,Cakupan
"Declare attribute value saving scope.","Menyatakan nilai atribut menyimpan cakupan."
"Storefront Properties","Tampilan toko properti"
"Use in Search","Digunakan dalam pencarian"
"Visible in Advanced Search","Terlihat di Pencarian"
"Comparable on Storefront","Sebanding pada etalase toko"
"Use for Promo Rule Conditions","Gunakan untuk Promo Kondisi Peraturan"
"Allow HTML Tags on Storefront","Memungkinkan Tags HTML di etalase toko"
"Visible on Catalog Pages on Storefront","Terlihat di halaman katalog di etalase toko"
"Used in Product Listing","Digunakan di Daftar Produk"
"Depends on design theme.","Tergantung pada tema desain."
"Used for Sorting in Product Listing","Digunakan untuk Penyortiran di Daftar Produk"
"Media Image","Media Gambar"
Gallery,Galeri
"System Properties","Properti Sistem"
"Data Type for Saving in Database","Tipe Data untuk Menyimpan di Database"
Text,Teks
Static,Statis
Datetime,"Tanggal Waktu"
Decimal,Desimal
"Globally Editable","Diedit secara Global"
"Attribute Information","Atribut informasi"
Properties,Properti
"Manage Labels","Mengelola Label"
Visible,Terlihat
Searchable,"Bisa dicari"
Comparable,Sebanding
"Delete Selected Group","Hapus Grup yang Dipilih"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Anda akan menghapus semua produk dalam atribut yang ditetapkan ini. Apakah Anda yakin ingin melakukan itu?"
"New Set Name","Tetapkan Nama Baru"
"Edit Attribute Set '%1'","Edit Tetapan Atribut '%1'"
Empty,Kosong
"Add Attribute","Tambahkan Atribuut"
"Add New Group","Tambahkan Grup Baru"
"Add Group","Tambahkan Grup"
"For internal use","Untuk penggunaan internal"
"Based On",Berdasarkan
"Edit Attribute Set Name","Edit Penetapan Nama Atribut"
"Add New Attribute Set","Tambahkan Tetapan Atribut Baru"
"Add Attribute Set","Tambahkan Tetapan Atribut"
"Attribute Sets","Menetapkan Atribut"
"Close Window","Tutup Jendela"
"New Product","Produk Baru"
"Save & Edit","Simpan & Edit"
"Save & New","Simpan dan baru"
"Save & Duplicate","Simpan & salin"
"Save & Close","Simpan & keluar"
Change,Perubahan
"Advanced Inventory","Persediaan Lanjutan"
Websites,"Situs Web"
"Products Information","Informasi Produk"
"Create Category","Buat Kategori"
"Category Name","Nama Kategori"
"Parent Category","Kategori Induk"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Jika tidak ada kustom kategori induk, silakan gunakan kategori induk default. Anda dapat menetapkan kategori setiap saat di <a href=""%1"" target=""_blank""> Produk> Kategori </a>."
"Price Alert Subscriptions","Harga Peringatan Langganan"
"Stock Alert Subscriptions","Persediaan Peringatan Langganan"
"There are no customers for this alert.","Tidak ada pelanggan untuk peringatan ini."
"Subscribe Date","Berlangganan Tanggal"
"Last Notified","Pemberitahuan Terakhir"
"Send Count","Jumlah Kirim"
"New Attribute","Atribut Baru"
"Attribute Set","Aturan Atribut"
"Add New Option","Tambahkan Pilihan Baru"
"Import Options","Impor Pilihan"
Import,Impor
"Add New Row","Tambahkan Baris Baru"
"Delete Row","Hapus Baris"
"Tier Pricing","Tingkatan Harga"
"Default Price","Harga Default"
"ALL GROUPS","Semua grup"
"Add Price","Tambahkan Harga"
"Default Values","Nilai Kegagalan"
"Related Products","Produk Terkait"
"Size for %1","Ukuran untuk %1"
"Watermark File for %1","Berkas watermark untuk %1"
"Position of Watermark for %1","Posisi watermark untuk %1"
"Name in %1","Nama dalam %1"
"Change Status","Ubah Status"
"Update Attributes","Perbarui Atribut"
"start typing to search category","mulai mengetik untuk kategori pencarian"
"New Category","Kategori Baru"
"Add New Images","Tambahkan Gambar Baru"
"Does this have a weight?","Apakah ini ada bobot?"
"Notify Low Stock RSS","Beritahu RSS Stok Sedikit"
"Low Stock Products","Stok Produk Sedikit"
"%1 has reached a quantity of %2.","% 1 telah mencapai jumlah% 2."
"Go to Home Page","Pergi ke Halaman Beranda"
"Subscribe to RSS Feed","Berlangganan Feed RSS"
"Products Comparison List","Produk Daftar Perbandingan"
"New Products from %1","Produk Baru dari %1"
"New Products","Produk Baru"
"%1 - Special Products","%1 - Produk Spesial"
"Click for price","Tekan untuk harga"
"Special Expires On: %1","Khusus Kedaluwarsa pada:% 1"
"Price: %1","Harga: %1"
"Special Price: %1","Harga Spesial: %1"
"Special Products","Produk Spesial"
"Manage Catalog Categories","Mengelola Kategori Katalog"
"Manage Categories","Mengelola Kategori"
"You deleted the category.","Anda menghapus kategori."
"Something went wrong while trying to delete the category.","Ada yang salah ketika mencoba untuk menghapus kategori."
Categories,Kategori
"Category is not available for requested store.","Kategori tidak tersedia untuk toko yang diminta."
"There was a category move error.","Terjadi kesalahan saat memindah kategori."
"You moved the category.","Anda pindah kategori."
"Something went wrong while saving the category.","Ada yang salah saat menyimpan kategori."
"You saved the category.","Anda menyimpan kategori."
"Please select products for attributes update.","Silahkan pilih produk untuk memperbarui atribut."
"Please make sure to define SKU values for all processed products.","Pastikan untuk menentukan nilai SKU untuk semua produk olahan."
"Something went wrong while updating the product(s) attributes.","Ada yang tidak beres saat memperbarui atribut produk."
"Something went wrong while processing the request.","Ada yang tidak beres saat memproses permintaan."
"Unable to add attribute","Tidak dapat menambahkan atribut"
"Manage Product Attributes","Mengelola Atribut Produk"
"We can't delete the attribute.","Kami tidak dapat menghapus atribut tersebut."
"You deleted the product attribute.","Anda menghapus atribut produk."
"We can't find an attribute to delete.","Kami tidak menemukan attribut untuk dihapus."
"This attribute no longer exists.","Perlengkapan ini sudah tidak ada lagi."
"This attribute cannot be edited.","Atribut ini tidak dapat diedit."
"Edit Product Attribute","Edit Atribut Produk"
"An attribute set named '%1' already exists.","Sebuah atribut bernama ' %1 ' sudah ada."
"Something went wrong while saving the attribute.","Ada yang salah saat menyimpan atribut."
"We can't update the attribute.","Kami tidak dapat memperbarui atribut."
"You saved the product attribute.","Anda menyimpan atribut produk."
"An attribute with this code already exists.","Atribut dengan kode ini sudah ada."
"An attribute with the same code (%1) already exists.","Atribut dengan kode yang sama (% 1) sudah ada."
"The value of Admin scope can't be empty.","Nilai lingkup Admin tidak boleh kosong."
"You duplicated the product.","Anda menyalin produk."
"This product doesn't exist.","Produk ini tidak ada."
"Invalid product id. Should be numeric value greater than 0","Id produk tidak valid. Nilai numerik harus lebih besar dari 0"
"A group with the same name already exists.","Sebuah kelompok dengan nama yang sama sudah ada."
"Something went wrong while saving this group.","Ada yang salah saat menyimpan grup ini."
"A total of %1 record(s) have been deleted.","Sejumlah dari %1 catatan(s) telah dihapus."
"A total of %1 record(s) have been updated.","Sebanyak% 1 record telah diperbarui."
"Something went wrong while updating the product(s) status.","Ada yang salah saat memperbarui status produk."
"You saved the product.","Anda menyimpan produk."
"SKU for product %1 has been changed to %2.","SKU untuk produk %1 telah diganti ke %2."
"The image cannot be removed as it has been assigned to the other image role","Gambar tidak dapat dihapus seperti yang telah ditugaskan untuk peran gambar lainnya"
"New Attribute Set","Set Atribut Baru"
"The attribute set has been removed.","Atribut set telah dihapus."
"We can't delete this set right now.","Kami tidak dapat menghapus perangkat ini sekarang."
"New Set","Set Baru"
"Manage Product Sets","Mengelola Set Produk"
"Manage Attribute Sets","Mengelola Set Atribut"
"This attribute set no longer exists.","Set atribut ini tidak ada lagi."
"You saved the attribute set.","Anda menyimpan set atribut."
"Something went wrong while saving the attribute set.","Ada yang salah saat menyimpan set atribut."
"You cleared the comparison list.","Anda menghapus daftar perbandingan."
"Something went wrong  clearing the comparison list.","Ada kesalahan saat mengapus daftar perbandingan."
"You removed product %1 from the comparison list.","Anda menghapus produk %1 dari daftar perbandingan."
"1 item","1 barang"
"%1 items","%1 barang"
"Are you sure you want to remove this item from your Compare Products list?","Yakin ingin menghapus item ini dari daftar Bandingkan Produk Anda?"
"Are you sure you want to remove all items from your Compare Products list?","Yakin ingin menghapus semua item dari daftar Bandingkan Produk Anda?"
"Invalid attribute %1","Atribut Tidak Sah %1"
Grid,Kisi-kisi
List,Daftar
"Bad controller interface for showing product","Controller interface yang buruk untuk menunjukkan produk"
"Product is not loaded","Produk ini tidak dimuat"
"Make sure the To Date is later than or the same as the From Date.","Pastikan untuk tanggal lebih dari atau sama dengan tanggal dari."
"Sorry, but we can't find the new parent category you selected.","Maaf, tapi kami tidak dapat menemukan kategori induk baru yang Anda pilih."
"Sorry, but we can't find the new category you selected.","Maaf, tapi kami tidak dapat menemukan kategori baru yang Anda pilih."
"We can't move the category because the parent category name matches the child category name.","Kami tidak dapat memindahkan kategori karena nama kategori induk sama persis dengan nama kategori anak."
"Something went wrong while getting the image url.","Terjadi kesalahan saat menerima url gambar."
"Can't delete root category.","Tidak dapat menghapus kategori root."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Produk default berdasarkan daftar penyortiran tidak ada di daftar ketersediaan produk."
"No layout updates","Tidak ada pembaruan tata letak"
"Products only","Hanya Produk"
"Static block only","Hanya blok statis"
"Static block and products","Blok statis dan produk"
"Please select a static block.","Silahkan pilih blok statis."
"Could not save product ""%1"" with position %2 to category %3","Tidak dapat menyimpan produk ""% 1"" dengan posisi% 2 untuk kategori% 3"
"Could not save product ""%product"" with position %position to category %category","Tidak dapat menyimpan produk ""%produk"" dengan posisi%posisi untuk kategori%kategori"
"Operation do not allow to move a parent category to any of children category","Operasi tidak memungkinkan untuk memindahkan kategori orang tua untuk setiap kategori anak-anak"
"Could not move category","Tidak dapat memindah kategori"
"Could not save category: %1","Tidak dapat menyimpan kategori: %1"
"Cannot delete category with id %1","Tidak dapat menghapus kategori dengan id %1"
"-- Please Select a Category --","-- Silahkan Pilih Kategori --"
"Grid Only","Hanya Kisi-Kisi"
"List Only","Hanya Daftar"
"Grid (default) / List","Kisi-Kisi (default) / Daftar"
"List (default) / Grid","Daftar (default) / Kisi-Kisi"
"Automatic (equalize price ranges)","Otomatis (menyeimbangkan jajaran harga)"
"Automatic (equalize product counts)","Otomatis (menyeimbangkan jumlah produk)"
"-- Please select --","-- Silahkan Pilih --"
"Product Thumbnail Itself","Thumbnail Produk Sendiri"
"Parent Product Thumbnail","Thumbnail Produk Orang Tua"
Stretch,Meregang
Tile,Ubin
Top/Left,Atas/Kiri
Top/Right,Kanan/atas
Bottom/Left,Kiri/bawah
Bottom/Right,Kanan/bawah
Center,Pusat
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 tidak meluas \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Ada yang tidak beres saat menyimpan file(s)."
"File can not be saved to the destination folder.","Berkas tidak bisa disimpan ke folder tujuan."
"Unknown EAV indexer type ""%1"".","Tipe pengindeks EAV tidak dikenal ""% 1""."
"We can't rebuild the index for an undefined product.","Kami tidak dapat membangun kembali untuk produk yang tidak didefinisikan."
"Bad value was supplied.","Nilai buruk disuplai."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Modul Katalog Kolom memiliki batas atribut %2$d yang dapat disaring dan/atau dapat diurutkan. Saat ini ada %1$d dari mereka. Harap kurangi jumlah atribut yang dapat disaring/dapat diurutkan agar dapat menggunakan modul ini"
"Unsupported product type ""%1"".","Tipe produk ""%1"" tidak didukung."
"Please correct the category.","Harap memperbaiki kategori."
"Must be category model instance or its id.","Harus model kategori instan atau idnya."
"The attribute model is not defined.","Model atribut tidak bisa diartikan."
Category,Kategori
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 tidak memperpanjang \Magento\Catalog\Model\Layer\Filter\Dynamic\ AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 tidak meluas \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Filter mesti sebuah objek. mohon atur filter yang benar."
"Clear Price","Harga yang jelas"
"%1 and above","%1 dan lebih"
"Group price must be a number greater than 0.","Nilai grup harus nomor yang lebih besar dari 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Konverter Media Gallery harus berupa instance dari EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","Tiada MediaGalleryEntryConverter untuk tipe yang diberikan"
"Please enter a number 0 or greater in this field.","Harap masukkan sebuah angka 0 atau lebih besar dalam daerah ini."
"SKU length should be %1 characters maximum.","Panjang SKU maksimal %1 karakter."
"Please enter a valid number in this field.","Harap masukkan nomor yang valid dalam daerah ini."
"We found a duplicate website, tier price, customer group and quantity.","Kami menemukan situs duplikat, harga tier, kelompok pelanggan dan kuantitas."
"Percentage value must be a number between 0 and 100.","Nilai persentase harus berupa nomor antara 0 dan 100."
"Invalid option id %1","Pilihan id %1 salah"
"Provided Attribute set non product Attribute set.","Aturan atribut yang disediakan bukan aturan produk atribut."
"Use config","Gunakan config"
"Attribute Set already exists.","Aturan atribut sudah tersedia."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Kami tidak dapat menyalin file %1. Harap hapus media dengan gambar yang tidak ada dan coba lagi."
"The option type to get group instance is incorrect.","Jenis pilihan untuk mendapatkan contoh kelompok tidak benar."
"Select type options required values rows.","Pilih jenis opsi yang diperlukan nilai-nilai baris."
"Please specify date required option(s).","Silakan tentukan opsi tanggal yang diperlukan."
"Please specify time required option(s).","Silahkan tentukan opsi waktu yang diperlukan."
"The option instance type in options group is incorrect.","Opsi tipe contoh dalam kelompok pilihan salah."
"The product instance type in options group is incorrect.","Opsi contoh produk dalam kelompok pilihan salah."
"The configuration item option instance in options group is incorrect.","Konfigurasi contoh opsi item dalam kelompok pilihan salah."
"The configuration item instance in options group is incorrect.","Konfigurasi contoh item dalam kelompok pilihan salah."
"The BuyRequest instance in options group is incorrect.","Contoh Permintaan Pembelian dalam kelompok pilihan salah."
"We can't add the product to the cart because of an option validation issue.","Kami tidak dapat menambahkan produk ke keranjang karena ada masalah validasi opsi."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 tidak meluas \Magento\Catalog\Model\Produk\Option\Type\DefaultType"
"The file '%1' for '%2' has an invalid extension.","File '%1' untuk '%2' memiliki ekstensi tidak valid."
"The maximum allowed image size for '%1' is %2x%3 px.","Ukuran gambar maksimum yang diizinkan untuk '% 1' adalah% 2 x% 3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","File '%1' yang anda upload lebih besar dari %2 megabyte yang diizinkan server kami."
"The file '%1' is invalid. Please choose another one","Berkas '%1' tidak valid. Harap pilih yang lain"
"File '%1' is not an image.","Berkas ' %1 ' bukan gambar."
"Some of the selected item options are not currently available.","Beberapa pilihan item yang dipilih saat ini tidak tersedia."
"Invalid attribute %fieldName = %fieldValue.","Atribut %fiel Nama tidak benar = %fiel nilai."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Toko yang diminta tidak ditemukan. ID Baris: SKU =%SKU, ID Toko: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Atribut tidak valid Biaya = %cost. ID Baris: SKU = %SKU, ID Toko: %storeId."
"Could not save Prices.","Tidak dapat menyimpan Harga."
"Could not delete Prices","Harga tidak bisa dihapus"
"Could not save Tier Prices","Tidak dapat menghemat Harga Tier"
"Could not replace Tier Prices","Tidak dapat mengganti Harga Tier"
"Could not delete Tier Prices","Harga Tier tidak dapat dihapus"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Attribute SKU tidak valid = %SKU. Row ID: SKU = %SKU, ID Website: %websiteId, Pelanggan Group: %customerGroup, Kuantitas: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atribut tidak sah harga =%harga. Baris ID: SKU = %SKU, Situs ID: %situsid, Kelompok pelanggan:
%kelompokpelanggan, Kuantitas: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Tipe Harga tidak valid Tipe Harga = %priceType. ID Baris: SKU = %SKU, ID Situs: %websiteId, Grup Pelanggan: %customerGroup, Jumlah: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atribut tidak valid Quantity = %qty. ID Baris: SKU = %SKU, ID Situs: % websiteId, Grup Pelanggan: %customerGroup, Jumlah: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atribut situs web tidak valid = %websiteId. ID Baris: SKU = %SKU, ID Situs: %websiteId, Grup Pelanggan: %customerGroup, Jumlah: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Kami menemukan situs duplikat, harga tier, kelompok pelanggan dan jumlah: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. ID Baris: SKU = %SKU, ID Situs: %websiteId, Grup Pelanggan: %customerGroup, Jumlah: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Tidak ada entitas dengan Grup Pelanggan = %customerGroup. ID Baris: SKU = %SKU, ID Situs: %websiteId, Grup Pelanggan: %customerGroup, Jumlah: %qty."
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Product doesn't have group price with such data: customerGroupId = '%1', website = %2, qty = %3"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 tidak meluas \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 tidak meluas \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Tidak terlihat secara individual"
"Catalog, Search","Cari katalog"
"Something went wrong while removing products from the websites.","Ada yang tidak beres saat mengeluarkan produk dari situs web."
"Something went wrong while adding products to websites.","Ada yang tidak beres saat menambahkan produk ke situs web."
"Product with SKU '%1' is not linked to product with SKU '%2'","Produk dengan SKU '%1' tidak terkait dengan produk dengan SKU '%2'"
"Product %1 doesn't have linked %2 as %3","Produk %1 tidak memiliki hubungan %2 sebagai %3"
"Invalid product data: %1","Data tidak valid Produk: %1"
"Database connection error","Koneksi database error"
"Database deadlock found when trying to get lock","Database kebuntuan ditemukan ketika mencoba untuk mendapatkan kunci"
"Database lock wait timeout exceeded","Database kunci menunggu waktu keluar melebihi"
"There are not websites for assign to product","Tidak ada situs untuk mengalihkan produk"
"Could not assign product ""%1"" to websites ""%2""","Tidak bisa menetapkan Produk ""%1"" ke situs ""%2"""
"Could not save product ""%1"" with websites %2","Tidak dapat menyelamatkan Produk ""%1"" dengan situs %2"
"We cannot determine the field name.","Kami tidak dapat menentukan nama field."
"Attribute '%1' is locked. %2","Atribut ' %1 ' terkunci. %2"
"Do not change the scope. %1","Jangan mengubah lingkup. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 tidak mengimplementasikan BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Jenis produk tidak ditentukan untuk pengindeks."
"Product with SKU %1 is not linked to product with SKU %2","Produk dengan SKU %1 tidak terkait dengan produk dengan SKU %2"
Dropdown,"Tarik kebawah"
"Could not get extension attributes","Tidak bisa mendapatkan atribut ekstensi"
message,pesan
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Harga atribut tidak valid = %price. ID Baris: SKU = %SKU, ID Toko: %storeId, Harga Dari:
%priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Toko yang diminta tidak ditemukan. ID Baris: SKU = %SKU, ID Toko: %storeId, Harga Dari:
%priceFrom, Price To: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","%label Atribut tidak valid = %priceTo. ID Baris: SKU = %SKU, ID Toko: %storeId, Harga Dari:
%priceFrom, Price To: %priceTo."
"Lock wait timeout","Kunci menunggu waktu"
"Advanced Pricing","Harga lanjutan"
"Customer Group Price","Harga kelompok pelanggan"
"Customer Group","Kelompok pelanggan"
"Special Price From","Harga khusus dari"
"Product Alerts","Produk tanda"
"Add Selected","Tambahkan Pilihan"
"Select Attribute","Hapus Atribut"
"Create New Attribute","Buat Atribut Baru"
"Customizable Options","Pilihan disesuaikan"
"Custom options let customers choose the product variations they want.","Pilihan khusus membiarkan pelanggan memilih variasi produk yang mereka inginkan."
"Select Product","Pilih Produk"
"Add Value","Nilai tambah"
"Option Type","Jenis Pilihan"
"Max Characters","Max karakter"
"Compatible File Extensions","Ekstensi File yang Kompatibel"
"Maximum Image Size","Ukuran Gambar Maksimum"
"Please leave blank if it is not an image.","Tolong biarkan kosong jika bukan gambar."
"This item has weight","Item ini memiliki berat"
"This item has no weight","Item ini memiliki berat"
"Set Product as New From","Atur Produk seperti Baru"
"Related Products, Up-Sells, and Cross-Sells","Produk Terkait, Up-Sells, dan Cross-Sells"
"Related products are shown to customers in addition to the item the customer is looking at.","Produk terkait ditunjukkan kepada pelanggan selain item yang dilihat pelanggan."
"Add Related Products","Tambahkan Produk Pilihan"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Item up-sell ditawarkan kepada pelanggan sebagai alternatif pricier atau berkualitas lebih tinggi untuk produk yang dilihat pelanggan."
"Add Up-Sell Products","Menambahkan produk Up-Selling"
"Up-Sell Products","Up-Jual Produk"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Produk-produk ""dorongan-Beli"" ini muncul di keranjang belanja sebagai salib-menjual item sudah di keranjang belanja."
"Add Cross-Sell Products","Menambahkan Salib-menjual produk"
"Cross-Sell Products","Salib-Jual Produk"
"Schedule Update From","Jadwal Update Dari"
"Product in Websites","Produk dalam situs"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Jika instalasi Magento Anda memiliki beberapa situs web, Anda dapat mengedit ruang lingkup untuk menggunakan produk di situs tertentu."
name,nama
"Copy Data from","Menyalin data dari"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Jika tidak ada kategori induk khusus, harap gunakan kategori induk default. Anda dapat menetapkan kategori kapan saja di <ahref=""%1""target=""_blank"">Produk&gt; Kategori</a>."
"This operation can take a long time","Operasi ini bisa memakan waktu lama"
"Collapse All","Tutup Semua"
"Expand All","Perluas Semua"
"Please confirm site switching. All data that hasn't been saved will be lost.","Mohon konfirmasi peralihan situs. Seluruh data yang belum tersimpan akan hilang."
"Manage Titles (Size, Color, etc.)","Mengelola Judul (Ukuran, Warna, dll.)"
"Manage Options (Values of Your Attribute)","Kelola Pilihan (Nilai Atribut Anda)"
"Sort Option","Urutkan opsi"
"The value of Admin must be unique.","Nilai Admin pasti unik."
Groups,Grup
"Double click on a group to rename it.","Klik dua kali pada sebuah grup untuk mengganti namanya."
"Unassigned Attributes","Atribut yang Belum Ditetapkan"
"This group contains system attributes. Please move system attributes to another group and try again.","Kelompok ini berisi atribut sistem. Harap pindahkan atribut sistem ke grup lain dan coba lagi."
"A name is required.","Sebuah nama diperlukan."
"Please select a node.","Silahkan pilih sebuah node."
"Please enter a new group name.","Harap masukkan nama grup yang baru."
"An attribute group named ""/name/"" already exists.","Grup atribut bernama ""/name/"" sudah ada."
"Sorry, we're unable to complete this request.","Maaf, kami tidak dapat menyelesaikan permintaan ini."
"You can't remove attributes from this attribute set.","Anda tidak dapat menghapus atribut dari set atribut ini."
"Custom Options","Pilihan kustom"
"This is a required option.","Ini adalah pilihan yang dibutuhkan."
"The field isn't complete.","Bidang tidak lengkap."
"Compatible file extensions to upload","Ekstensi file yang kompatibel untuk diunggah"
"Maximum image width","Lebar gambar maksimal"
"Maximum image height","Tinggi gambar maksimum"
"Maximum number of characters:","Jumlah karakter maksimum:"
"start typing to search template","mulai mengetik untuk mencari template"
"Product online","Produk online"
"Product offline","Produk offline"
"Product online status","Status produk online"
"Manage Stock","Atur Stok"
"Out-of-Stock Threshold","Ambang Batas Stok habis"
"Minimum Qty Allowed in Shopping Cart","Qty minimum Yang diizinkan dalam keranjang belanja"
"Maximum Qty Allowed in Shopping Cart","Qty maksimum yang diizinkan dalam keranjang belanja"
"Qty Uses Decimals","Qty menggunakan Desimal"
Backorders,"Kembali perintah"
"Notify for Quantity Below","Beritahu kuantitas dibawah ini"
"Enable Qty Increments","Aktifkan Qty tambahan"
"Qty Increments","Qty Tambahan"
"Stock Availability","Ketersediaan stok"
"In Stock","Dalam Persediaan"
"Out of Stock","Tidak Ada Persediaan"
"Add Product To Websites","Tambahkan Produk ke Situs Web"
"Remove Product From Websites","Hapus Produk dari Situs Web"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Untuk menyembunyikan item dalam katalog atau hasil pencarian, setel status menjadi ""Disabled""."
"Delete Custom Option","Menghapus pilihan kebiasaan"
"Sort Custom Options","Urutkan opsi kustom"
"Sort Custom Option","Urutkan opsi kustom"
"Item Price","Harga barang"
"and above","dan lebih"
"Delete Tier","Hapus aturan"
"Product In Websites","Produk di Website"
"(Copy data from: %1)","(Menyalin data dari: %1)"
"Browse to find or drag image here","Jelajahi untuk mencari atau menyeret gambar di sini"
"Delete image","Hapus gambar"
Hidden,Tersembunyi
"Alt Text","Alt Teks"
Role,Peran
"Image Size","Ukuran Gambar"
{size},{ukuran}
"Image Resolution","Resolusi gambar"
"{width}^{height} px","{width} ^ {height} px"
"Hide from Product Page","Sembunyikan dari Halaman Produk"
"Allow Multiple Boxes for Shipping","Memungkinkan Beberapa Kotak untuk Pengiriman"
"start typing to search attribute","mulai mengetik untuk mencari atribut"
"Basic Settings","Setelan Dasar"
"Advanced Settings","Setelan lanjutan"
"Special Price","Harga Spesial"
"Buy %1 for: ","Beli %1 Untuk: "
"Shop By","Belanja dengan"
"Shopping Options","Pilihan Belanja"
"Compare Products","Bandingkan produk"
"Print This Page","Cetak Halaman ini"
"Remove Product","Hapus produk"
"Add to Wish List","Tambahkan ke Daftar Keinginan"
"You have no items to compare.","Anda tidak memiliki item untuk membandingkan."
"Remove This Item","Hapus Barang Ini"
Compare,Bandingkan
"Clear All","Bersihkan Semua"
"We can't find products matching the selection.","Kami tidak dapat menemukan produk yang sesuai dengan pilihannya."
"Learn More","Pelajari Lagi"
"Add to Compare","Tambahkan untuk Membandingkan"
"We found other products you might like!","Kami menemukan produk lain yang mungkin Anda sukai!"
"More Choices:","Pilihan lebih:"
"Check items to add to the cart or","Centang item untuk ditambahkan ke keranjang atau"
"select all","pilih Semua"
